Родительская директория,Это,Имя,Размер
.\Files,директория,pictures,23549
.\Files,директория,Texts,17762
.\Files\pictures,файл,cutrpvoqspwovjpmbxbyhlyp.jpg,1797
.\Files\pictures,файл,hcugsyrzsvwesxkozrsypbgfyxfuub.png,699
.\Files\pictures,файл,inkbidwsptghsvf.jpg,2549
.\Files\pictures,файл,lwftuepqlgxewwsomxkmwkidq.png,1778
.\Files\pictures,файл,oqkkwozzz.jpg,2594
.\Files\pictures,файл,oylqroruqrqe.png,4009
.\Files\pictures,файл,pvsblpkmuhtfbxxywzpbajldiu.png,3574
.\Files\pictures,файл,vsfldjyulocagkqx.jpg,2614
.\Files\pictures,файл,wpknjkgzrwryzsfsohihxjb.png,1764
.\Files\pictures,файл,xmbzmwbnbmesncoqiufzxslhvmdw.jpg,2171
.\Files\Texts,файл,chg_new01.md,447
.\Files\Texts,файл,elb_new02.md,2401
.\Files\Texts,файл,esg_new03.md,1021
.\Files\Texts,файл,jen_new04.md,2685
.\Files\Texts,файл,jmn_new05.md,433
.\Files\Texts,файл,kzn_new06.md,787
.\Files\Texts,файл,odz_new07.md,1069
.\Files\Texts,файл,qcn_new08.md,3712
.\Files\Texts,файл,rqm_new09.md,2684
.\Files\Texts,файл,yun_new10.md,2523
